VÉRTICE,LADO,DISTANCIA(m),ESTE(X),NORTE(Y)
P362,P362  -  P363,66.75,215531.5225,8270445.1254
P363,P363  -  P364,66.97,215559.9089,8270505.5341
P364,P364  -  P365,23.49,215583.3878,8270568.2487
P365,P365  -  P366,19.47,215581.6561,8270591.6736
P366,P366  -  P367,21.50,215588.5660,8270609.8796
P367,P367  -  P368,24.38,215572.1487,8270623.7566
P368,P368  -  P369,8.67,215550.5366,8270635.0341
P369,P369  -  P370,19.75,215550.5366,8270643.7022
P370,P370  -  P371,25.19,215562.6413,8270659.3088
P371,P371  -  P372,104.07,215573.8801,8270681.8539
P372,P372  -  P373,31.18,215648.2151,8270754.6882
P373,P373  -  P374,22.23,215677.6029,8270765.0960
P374,P374  -  P375,14.78,215699.2149,8270759.8872
P375,P375  -  P376,49.44,215713.0430,8270765.0961
P376,P376  -  P377,33.67,215706.9987,8270814.1654
P377,P377  -  P378,106.72,215713.9086,8270847.1182
P378,P378  -  P379,85.03,215656.8562,8270937.3084
P379,P379  -  P380,34.77,215632.6547,8271018.8205
P380,P380  -  P381,68.00,215635.2438,8271053.4930
P381,P381  -  P382,85.66,215657.7215,8271117.6690
P382,P382  -  P383,180.77,215722.5562,8271173.6468
P383,P383  -  P384,40.06,215881.5842,8271259.6087
P384,P384  -  P385,152.24,215908.9837,8271288.8299
P385,P385  -  P386,38.44,215910.6994,8271441.0592
P386,P386  -  P387,35.99,215899.9716,8271477.9711
P387,P387  -  P388,38.55,215887.7101,8271511.8037
P388,P388  -  P389,34.55,215890.7774,8271550.2353
P389,P389  -  P390,39.13,215878.5077,8271582.5282
P390,P390  -  P391,47.37,215849.3920,8271608.6724
P391,P391  -  P392,27.67,215838.6642,8271654.8123
P392,P392  -  P393,29.68,215838.6641,8271682.4863
P393,P393  -  P394,29.25,215849.3917,8271710.1603
P394,P394  -  P1,16.33,215847.8579,8271739.3739
